Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Tālrunis,E-pasts,Adrese,Direktors,Bērnu skaits vecumā līdz 5 gadu vecumam,Bērnu skaits vecumā 5 gadi un vairāk
DAUGAVPILS NOVADS,4201901661,"Naujenes pirmsskolas izglītības iestāde ""Rūķītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65450176,Naujenes_pii@inbox.lv,"ALEJAS IELA 2, KRAUJA, NAUJENES PAGASTS, DAUGAVPILS NOVADS, LV-5451",ANNA VAIDERE,99,70
DOBELES NOVADS,4501901574,"Annenieku pirmsskolas izglītības iestāde ""Riekstiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63754940,inaralusena@inbox.lv,"SKOLAS IELA 6A, KAĶENIEKI, ANNENIEKU PAGASTS, DOBELES NOVADS, LV-3718",INĀRA LŪSĒNA,46,38
DOBELES NOVADS,4501901575,"Jaunbērzes pirmsskolas izglītības iestāde ""Minkuparks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63723240, 63700175",minkuparks@dobele.lv,"CERIŅU IELA 9, JAUNBĒRZE, JAUNBĒRZES PAGASTS, DOBELES NOVADS, LV-3717",ANITA DIDRIHSONE,50,28
DOBELES NOVADS,4501901707,"Dobeles pirmsskolas izglītības iestāde ""Spodrītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63722525, 63722524, 25627774, 28376091",spodritis@dobele.lv,"ZAĻĀ IELA 22, DOBELE, DOBELES NOVADS, LV-3701",ILZE ZĀĢERE,156,80
DOBELES NOVADS,4501901709,"Dobeles pirmsskolas izglītības iestāde ""Jāņtārpiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63721742,jantarpins@dobele.lv,"ZAĻĀ IELA 29, DOBELE, DOBELES NOVADS, LV-3701",DZINTRA BAUMANE,131,81
DOBELES NOVADS,4501901710,"Dobeles pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63721147,zvanins@dobele.lv,"PUĶU IELA 8, DOBELE, DOBELES NOVADS, LV-3701",DINA ŠTRAUBE,153,84
DOBELES NOVADS,4501902753,"Pirmsskolas izglītības iestāde ""Auriņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63750483,aurins@dobele.lv,"SKOLAS IELA 10a, AURI, AURU PAGASTS, DOBELES NOVADS, LV-3710",AGITA PĒKA,34,25
DOBELES NOVADS,4501903249,"Dobeles novada pirmsskolas izglītības iestāde ""Ābolītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63754342,abolitis@dobele.lv,"""Krimūnu skola"", KRIMŪNAS, KRIMŪNU PAGASTS, DOBELES NOVADS, LV-3719",TATJANA AROLE,26,22
DOBELES NOVADS,4501903368,"Dobeles pirmsskolas izglītības iestāde ""Valodiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63781995,valodina@dobele.lv,"UPES IELA 5, DOBELE, DOBELES NOVADS, LV-3701",VĒSMA BAĶE,11,54
DUNDAGAS NOVADS,4101901588,"Dundagas pirmsskolas izglītības iestāde ""Kurzemīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63232265, 29245414",bernudarzs@dundaga.lv,"TALSU IELA 7, DUNDAGA, DUNDAGAS PAGASTS, DUNDAGAS NOVADS, LV-3270",RUDĪTE BAĻĶĪTE,74,60
DURBES NOVADS,4101901753,"Durbes pirmsskolas izglītības iestāde ""Ābolītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63498874, 63498784",pii.abolitis@durbe.lv,"SKOLAS IELA 5 A, DURBE, DURBES NOVADS, LV-3440",MUDĪTE REINHARDE,60,41
ENGURES NOVADS,4301902664,"Engures pirmsskolas izglītības iestāde ""Spārīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63161637,sparite@enguresnovads.lv,"SKOLAS IELA 10, ENGURE, ENGURES PAGASTS, ENGURES NOVADS, LV-3113",SANDRA OZOLIŅA,60,43
ĒRGĻU NOVADS,4401900088,"Ērgļu novada pirmsskolas izglītības iestāde ""Pienenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64871130,bernudarzs@ergli.lv,"RĪGAS IELA 10, ĒRGĻI, ĒRGĻU PAGASTS, ĒRGĻU NOVADS, LV-4840",LĪGA ŠMITE,58,40
GARKALNES NOVADS,4301802339,"Privātā pirmsskolas izglītības iestāde ""Langstiņi""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"26313677, 26106534",langstini@apollo.lv,"LIEDAGA IELA 7, PRIEDKALNE, GARKALNES NOVADS, LV-1024",SIGNIJA JEZUNA,25,3
GARKALNES NOVADS,4301802835,"Pirmsskolas izglītības iestāde ""Mīlulis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"29177268, 29483941",sintijaeglite@inbox.lv,"LIEPKALNU IELA 6, BALTEZERS, GARKALNES NOVADS, LV-2164",GUNTA MEDZJUTE,58,9
GARKALNES NOVADS,4301802943,"Privātā pirmsskolas izglītības iestāde ""Skudriņa Tipa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26148815,kapriola@inbox.lv,"BITĒNU IELA 16, BERĢI, GARKALNES NOVADS, LV-1024",VITA JUNDZE,18,0
GARKALNES NOVADS,4301802980,"Privātā pirmsskolas izglītības iestāde ""Mazputniņi""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29132822,inaralaze@inbox.lv,"STRAUTA IELA 1 - 8, UPESCIEMS, GARKALNES NOVADS, LV-2137",IVETA ŠKRABA,25,15
GARKALNES NOVADS,4301903255,"Garkalnes novada pašvaldības pirmsskolas izglītības iestāde ""Čiekuriņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27049671,ciekurins@garkalne.lv,"MEDIĶU IELA 4, LANGSTIŅI, GARKALNES NOVADS, LV-2137",VITA SKUKAUSKA,109,106
GARKALNES NOVADS,4301903257,"Garkalnes novada pašvaldības pirmsskolas izglītības iestāde ""Skudriņas""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29177649,peteris.salenieks@garkalne.lv,"SAULES IELA 34, GARKALNE, GARKALNES NOVADS, LV-2137",PĒTERIS SALENIEKS,73,84
GROBIŅAS NOVADS,4101901737,"Medzes pagasta pirmsskolas izglītības iestāde ""Čiekuriņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63490583,ciekurins@grobinasnovads.lv,"ČIEKURU IELA 1, KAPSĒDE, MEDZES PAGASTS, GROBIŅAS NOVADS, LV-3461",AGIJA ADMIDIŅA,53,46
GROBIŅAS NOVADS,4101901762,"Grobiņas pilsētas pirmsskolas izglītības iestāde ""Pīpenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63491218, 63491726",gbernudarzs@inbox.lv,"SAULES IELA 10, GROBIŅA, GROBIŅAS NOVADS, LV-3430",DZINTRA GUTĀNE,118,94
GROBIŅAS NOVADS,4101903299,"Grobiņas novada pirmsskolas izglītības iestāde ""Ūdelīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29229291,udelite@grobinasnovads.lv,"OZOLU IELA 1, DUBEŅI, GROBIŅAS NOVADS, LV-3431",OSKARS RUDOVSKIS,70,57
GULBENES NOVADS,4401901915,"Jaungulbenes pirmsskolas izglītības iestāde ""Pienenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64470138,pienenite@jaungulbene.lv,"""Pienenīte"", JAUNGULBENE, JAUNGULBENES PAGASTS, GULBENES NOVADS, LV-4420",INESE ŽUKA,32,30
GULBENES NOVADS,4401901929,"Lejasciema pirmsskolas izglītības iestāde ""Kamenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64471941,kamenite@gulbene.lv,"RĪGAS IELA 11A, LEJASCIEMS, LEJASCIEMA PAGASTS, GULBENES NOVADS, LV-4412",IRISA PUIDZE,31,23
GULBENES NOVADS,4401901930,"Gulbenes 3. pirmsskolas izglītības iestāde ""Auseklītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64423241,pirmsskola3@gulbene.lv,"NĀKOTNES IELA 4, GULBENE, GULBENES NOVADS, LV-4401",VIJA PUŠĶE,153,110
GULBENES NOVADS,4401901931,"Rankas pirmsskolas izglītības iestāde ""Ābelīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64470048,abelite@gulbene.lv,"""Ābelīte"", RANKA, RANKAS PAGASTS, GULBENES NOVADS, LV-4416",AIGA LOSEVA,48,20
GULBENES NOVADS,4401901932,Gulbenes 1. pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64473816,pirmsskola1@gulbene.lv,"O. KALPAKA IELA 70a, GULBENE, GULBENES NOVADS, LV-4401",DACE NAGLE,83,48
GULBENES NOVADS,4401901933,"Gulbenes 2. pirmsskolas izglītības iestāde ""Rūķītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64472139,pirmsskola2@gulbene.lv,"BĒRZU IELA 4B, GULBENE, GULBENES NOVADS, LV-4401",SANDRA BRIEŽE,70,44
GULBENES NOVADS,4401902010,Stāķu pirmsskolas izglītības iestāde,Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64497390,staku.pii@gulbene.lv,"""Stāķi 21"", STĀĶI, STRADU PAGASTS, GULBENES NOVADS, LV-4417",SINTIJA LOČMANE,56,42
GULBENES NOVADS,4401903331,"Gulbenes novada pirmsskolas izglītības iestāde ""Ābolīši""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,64497710,ginta.ozolina@gulbene.lv,"AVOTU IELA 2, BEĻAVA, BEĻAVAS PAGASTS, GULBENES NOVADS, LV-4409",GINTA OZOLIŅA,48,31
IECAVAS NOVADS,4501901009,"Iecavas novada pirmsskolas izglītības iestāde ""Dartija""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63941698,dartija.bernudarzs@inbox.lv,"OZOLU IELA 2, IECAVA, IECAVAS NOVADS, LV-3913",IRĪNA FREIMANE,119,81
IECAVAS NOVADS,4501901656,"Iecavas pirmsskolas izglītības iestāde ""Cālītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63941547,bernudarzs.calitis@iecava.lv,"ZEMGALES IELA 9A, IECAVA, IECAVAS NOVADS, LV-3913",INGŪNA LĀCE,144,119
IKŠĶILES NOVADS,4301901447,"Ikšķiles pirmsskolas izglītības iestāde ""Urdaviņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65030622,urdavina@ikskile.lv,"MELIORATORU IELA 10, IKŠĶILE, IKŠĶILES NOVADS, LV-5052",VALDA KRINKELE,199,148
IKŠĶILES NOVADS,4301903256,"Ikšķiles novada pašvaldības pirmsskolas izglītības iestāde ""Čiekuriņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,25410189,ciekurins@ikskile.lv,"IRBENĀJU IELA 2, IKŠĶILE, IKŠĶILES NOVADS, LV-5052",LAIMĪTE SEŅKĀNE-SOSTE,103,84
ILŪKSTES NOVADS,4201901864,"Ilūkstes pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65462175,singabd@inbox.lv,"JĒKABPILS IELA 10A, ILŪKSTE, ILŪKSTES NOVADS, LV-5447",INGA ZVIEDRĀNE,106,92
INČUKALNA NOVADS,4301803161,"Privātā pirmsskolas izglītības iestāde ""Gregucis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,28300301,laicane.liena@inbox.lv,"SMILŠU IELA 1 - 49, VANGAŽI, INČUKALNA NOVADS, LV-2136",LIENA LAICĀNE,29,0
INČUKALNA NOVADS,4301901884,"Inčukalna novada pirmsskolas izglītības iestāde ""Minka""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67977395,minka.pii@incukalns.lv,"ZVAIGŽŅU IELA 6, INČUKALNS, INČUKALNA PAGASTS, INČUKALNA NOVADS, LV-2141",RITA GALIŅA,99,55
INČUKALNA NOVADS,4301901909,"Inčukalna novada Vangažu pirmsskolas izglītības iestāde ""Jancis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67995292,pii_jancis@incukalns.lv,"SMILŠU IELA 2, VANGAŽI, INČUKALNA NOVADS, LV-2136",KADRIJA JANISELE,110,30
JAUNJELGAVAS NOVADS,4501901714,"Seces pagasta pirmsskolas izglītības iestāde ""Vasariņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65129405,inese_vasarina@inbox.lv,"""Bērnudārzs Vasariņa"", SECE, SECES PAGASTS, JAUNJELGAVAS NOVADS, LV-5124",INESE RIBAKOVA,22,15
JAUNJELGAVAS NOVADS,4501901770,"Daudzeses pagasta pirmsskolas izglītības iestāde ""Čiekuriņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65141382,ciekurins1964@inbox.lv,"Bērnudārzs, DAUDZEVA, DAUDZESES PAGASTS, JAUNJELGAVAS NOVADS, LV-5111",IEVA BĒRZIŅA,31,10
JAUNJELGAVAS NOVADS,4501901772,"Jaunjelgavas pirmsskolas izglītības iestāde ""Atvasīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,65152224,pii.atvasite@inbox.lv,"LIEPU IELA 23, JAUNJELGAVA, JAUNJELGAVAS NOVADS, LV-5134",LARISA DINVALDE,56,44
JELGAVA,2801802058,"SIA ""Rūķu māja"" pirmsskolas izglītības iestāde",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63026159,blark@apollo.lv,"SVĒTES IELA 20a, JELGAVA, LV-3001",BIRUTA BRIEDE,50,39
JELGAVA,2801802059,"Privātā pirmsskolas izglītības iestāde ""Pūčuks""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63020137, 63037142",inese-krasmane@inbox.lv,"NIEDRU IELA 4, JELGAVA, LV-3001",SANITA VIĻUMA,72,41
JELGAVA,2801802072,"SIA ""Edgars un Tamāra"" pirmsskolas izglītības iestāde ""Pīlādzītis""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63021591, 63011290",bd_piladzitis@inbox.lv,"PĒRNAVAS IELA 16, JELGAVA, LV-3004",TAMĀRA SALMIŅA,111,80
JELGAVA,2801802236,"SIA ""Evons"" pirmsskolas izglītības iestāde ""Zvaigznīte""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"63025693, 63029572",evons@tvnet.lv,"KRIŠJĀŅA BARONA IELA 46a, JELGAVA, LV-3001",LUDMILA KORSAKA,86,48
JELGAVA,2801802254,"SIA ""Mītavas Elektra"" pirmsskolas izglītības iestāde ""Varavīksne""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63021000.6302243,pii.varaviksne@gmail.com,"VAĻŅU IELA 8, JELGAVA, LV-3001",ZAIGA ROZENBERGA,62,30
JELGAVA,2801802893,"Privātā pirmsskolas izglītības iestāde ""Saules bērnu dārzs""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29645522,remeos@inbox.lv,"KADIĶU CEĻŠ 19, JELGAVA, LV-3002",LITA SAFRANOVIČA,14,14
JELGAVA,2801803093,"Privātā pirmsskolas izglītības iestāde ""Saliņa""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26776278,salina_sa@inbox.lv,"ATMODAS IELA 86 - 17, JELGAVA, LV-3007",SIGITA ALEKSANDROVA,13,26
JELGAVA,2801803233,"Privātā pirmsskolas izglītības iestāde ""Paulas Karlsons""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27039644,karlsons10@inbox.lv,"KADIĶU CEĻŠ 126, JELGAVA, LV-3002",MĀRĪTE ZVIRGZDIŅA-KARPOVA,58,4
JELGAVA,2801803260,"Privātā pirmsskolas izglītības iestāde ""Mācos mācīties""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29368746,baiba.jurane@barbo.lv,"ATMODAS IELA 9, JELGAVA, LV-3001",ILZE MIHAILOVA,68,8
JELGAVA,2801803282,"Pirmsskolas izglītības iestāde ""AUSEKLĪTIS""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29838257,auseklitis52@inbox.lv,"AUSEKĻA IELA 52A, JELGAVA, LV-3001",GUNA OSTELE,29,7
JELGAVA,2801900523,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Zemenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63025506,zemenite5@apollo.lv,"BLAUMAŅA IELA 14, JELGAVA, LV-3001",MUDĪTE GAVRILKO,67,68
JELGAVA,2801900524,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Pasaciņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63027245,pasacina@izglitiba.jelgava.lv,"ASPAZIJAS IELA 18, JELGAVA, LV-3001",ZANE KOROĻČUKA,129,139
JELGAVA,2801900525,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Lācītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63028767,lacitis@izglitiba.jelgava.lv,"MĀRAS IELA 2, JELGAVA, LV-3007",SANDRA NĀCKALNE,92,51
JELGAVA,2801900526,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Kamolītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63045540,kamolitis@izglitiba.jelgava.lv,"MEIJU CEĻŠ 31, JELGAVA, LV-3007",ANITA BĒRZIŅA,92,117
JELGAVA,2801900533,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Rotaļa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63083102,rotala@izglitiba.jelgava.lv,"LĀČPLĒŠA IELA 5, JELGAVA, LV-3002",ILZE PUTNIECE,147,109
JELGAVA,2801901402,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Vārpiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63027880,varpina@izglitiba.jelgava.lv,"KRONVALDA IELA 22, JELGAVA, LV-3002",KRISTĪNE ŠABOVICA,85,75
JELGAVA,2801901403,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Gaismiņa""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63029287,gaismina@izglitiba.jelgava.lv,"VAĻŅU IELA 5, JELGAVA, LV-3001",AGRITA LOCA,67,45
JELGAVA,2801902669,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Sprīdītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63022603,spriditis@izglitiba.jelgava.lv,"TĒRVETES IELA 6, JELGAVA, LV-3008",VĒSMA BĒRTULE,118,169
JELGAVA,2801902853,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Ķipari""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26702221,kipari@izglitiba.jelgava.lv,"PULKVEŽA BRIEŽA IELA 23a, JELGAVA, LV-3007",ANTRA ZORENBERGA,134,109
JELGAVA,2801903057,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Kāpēcīši""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26305690,kapecisi@izglitiba.jelgava.lv,"GANĪBU IELA 66, JELGAVA, LV-3007",LĀSMA LIPIŅA,161,99
JELGAVA,2801903074,"Jelgavas pilsētas pašvaldības pirmsskolas izglītības iestāde ""Zīļuks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,26523828,ziluks@izglitiba.jelgava.lv,"SKAUTU IELA 1A, JELGAVA, LV-3002",INGA LUCA,89,44
JELGAVAS NOVADS,4501901891,"Kalnciema pirmsskolas izglītības iestāde ""Mārīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,37125441413,marite@jelgavasnovads.lv,"DRAUDZĪBAS IELA 15, KALNCIEMS, KALNCIEMA PAGASTS, JELGAVAS NOVADS, LV-3016",,64,41
JELGAVAS NOVADS,4501901895,"Elejas pirmsskolas izglītības iestāde ""Kamenīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,63061531,kamenite@jelgavasnovads.lv,"PARKA IELA 11, ELEJA, ELEJAS PAGASTS, JELGAVAS NOVADS, LV-3023",INDRA BUSE,94,68
JĒKABPILS,1001900300,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Bērziņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65223384, 26865160",bberzins@inbox.lv,"MADONAS IELA 50, JĒKABPILS, LV-5202",ZINAIDA KOTKINA,65,51
JĒKABPILS,1001900301,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Auseklītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65234628, 22319566",pii.auseklitis@inbox.lv,"DŪMU IELA 1, JĒKABPILS, LV-5201",ANITA PAĢIRE,146,105
JĒKABPILS,1001900302,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Zvaigznīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65230133, 22319555",zvaigznite@pii.jekabpils.lv,"MEŽA IELA 12, JĒKABPILS, LV-5201",ANITA APINE,244,165
JĒKABPILS,1001900303,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Zvaniņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65233741, 22306508",zvanins@pii.jekabpils.lv,"MEŽA IELA 9, JĒKABPILS, LV-5201",SILVIJA BĒRZIŅA,174,138
JĒKABPILS,1001900304,"Jēkabpils pilsētas pirmsskolas izglītības iestāde ""Kāpēcītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"65236050, 29186785",piikapecitis@apollo.lv,"PALEJAS IELA 15A, JĒKABPILS, LV-5202",JANĪNA ANSPOKA,172,128
JŪRMALA,2901802609,"Pirmsskolas izglītības iestāde Jūrmalas privātais bērnudārzs ""GALAKTIKA""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,29256483,galaktika@apollo.lv,"ĒRGĻU IELA 8, JŪRMALA, LV-2015",SVETLANA KOLONTAJA,31,14
JŪRMALA,2901802874,"Privātā pirmsskolas izglītības iestāde ""Jūrmalas Montesori skola""",Juridiska vai fiziska persona,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,27001429,info@montesoriskola.lv,"ZEMGALES IELA 12, JŪRMALA, LV-2008",,24,8
JŪRMALA,2901902124,"Jūrmalas pirmsskolas izglītības iestāde ""Lācītis""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67735211,piilacitis@edu.jurmala.lv,"TĒRBATAS IELA 42, JŪRMALA, LV-2016",NATAĻJA STUPELE,152,80
JŪRMALA,2901902125,"Jūrmalas pirmsskolas izglītības iestāde ""Saulīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67752522,piisaulite@edu.jurmala.lv,"RĒZEKNES PULKA IELA 28, JŪRMALA, LV-2010",INETA ARONIETE,132,88
JŪRMALA,2901902126,"Jūrmalas pirmsskolas izglītības iestāde ""Bitīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67733506,piibitite@edu.jurmala.lv,"LĒDURGAS IELA 20A, JŪRMALA, LV-2011",ILONA PĀVULE-VĪTOLA,69,19
JŪRMALA,2901902127,"Jūrmalas pirmsskolas izglītības iestāde ""Mārīte""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67735023,piimarite@edu.jurmala.lv,"ENGURES IELA 4, JŪRMALA, LV-2016",ILGA JOFE,130,83
JŪRMALA,2901902128,"Jūrmalas pirmsskolas izglītības iestāde ""Madara""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67736562, 22304911",piimadara@edu.jurmala.lv,"TĒRBATAS IELA 1, JŪRMALA, LV-2011",MARITA ŠTEIMANE,134,91
JŪRMALA,2901902129,"Jūrmalas pirmsskolas izglītības iestāde ""Namiņš""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,"67769708, 67769706",piinamins@edu.jurmala.lv,"Poruka prospekts 14, JŪRMALA, LV-2008",AIDA BERKOVIČA,66,20
JŪRMALA,2901902131,"Jūrmalas Pirmsskolas izglītības iestāde ""Austras koks""",Pašvaldība ,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,67765318,austraskoks@edu.jurmala.lv,"TUKUMA IELA 9, JŪRMALA, LV-2012",INTA ČERNAJA,63,37
