Nosaukums,Reģistrācijas numurs,Juridiskais status,Vadītājs,Filiāļu skaits,Strukturvienību skaits,Veids,Tips,Faktiskais dibinātājs,Deklarētais dibinātājs,Likvidēta,Adrese,Tālrunis,E-pasts
"Alsviķu pirmsskolas izglītības iestāde ""Saulīte""","4401901484","Pastarpinātās pārvaldes iestāde","VIOLA LĀCE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"Saulīte, ALSVIĶI, ALSVIĶU PAGASTS, ALŪKSNES NOVADS, LV-4333","29162206","saulite@aluksne.lv"
"Alūksnes Bērnu un jauniešu centrs","4451902238","Pastarpinātās pārvaldes iestāde","EVA AIZUPE",0,0,"Bērnu un jauniešu interešu izglītības iestāde","Bērnu un jauniešu interešu izglītības iestāde","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"DĀRZA IELA 8a, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64322402, 29190552","abjc@aluksne.lv"
"Alūksnes Mākslas skola","4475902237","Pastarpinātās pārvaldes iestāde","OJĀRS VĒLIŅŠ",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"OJĀRA VĀCIEŠA IELA 2, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64322433, 29298964","makslasskola@aluksne.lv"
"Alūksnes Mūzikas skola","4476902334","Pastarpinātās pārvaldes iestāde","GUNTA BOŠA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"JĀŅKALNA IELA 38, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64381440, 26137177","muzikas_skola@aluksne.lv"
"Alūksnes novada vidusskola","4413902870","Pastarpinātās pārvaldes iestāde","ILZE LĪVIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"KANAVIŅU IELA 14, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64381669","anv@aluksne.lv"
"Alūksnes pilsētas Bērnu un jaunatnes sporta skola","4471902196","Pastarpinātās pārvaldes iestāde","LĪGA TOMSONE",0,0,"Profesionālās ievirzes izglītības iestāde","Sporta skola","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"LIELĀ EZERA IELA 24a, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64322654","albjss@aluksne.lv"
"Alūksnes pilsētas sākumskola","4411900920","Pastarpinātās pārvaldes iestāde","UVA GRENCIONE-LAPSENIETE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"LIELĀ EZERA IELA 26, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64324403, 26356444","sakumskola@aluksne.lv"
"Alūksnes pirmsskolas izglītības iestāde ""Cālis""","4401903404","Pastarpinātās pārvaldes iestāde","AGITA PAKALNIETE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"LIELĀ EZERA IELA 7, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64322143","calis@aluksne.lv"
"Alūksnes pirmsskolas izglītības iestāde ""Pienenīte""","4401901486","Pastarpinātās pārvaldes iestāde","INGŪNA DOVGĀNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"HELĒNAS IELA 32, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64322530","pienenite@aluksne.lv"
"Alūksnes pirmsskolas izglītības iestāde ""Sprīdītis""","4401901481","Pastarpinātās pārvaldes iestāde","MODRĪTE VOSKA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Alūksnes novada pašvaldība","Alūksnes novada pašvaldība",Nē,"RAIŅA BULVĀRIS 5, ALŪKSNE, ALŪKSNES NOVADS, LV-4301","64323910","spriditis@aluksne.lv"
"Amatas novada mūzikas un mākslas skola","4474902103","Pastarpinātās pārvaldes iestāde","MARIKA BUSOTE-UZULIŅA",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas un mākslas skola","Amatas novada pašvaldība","Amatas novada pašvaldība",Nē,"""Pagasta ēka"", NĪTAURE, NĪTAURES PAGASTS, AMATAS NOVADS, LV-4112","64164316, 27749775","nitauresms@inbox.lv"
"Amatas novada Skujenes pamatskola","4412903132","Pastarpinātās pārvaldes iestāde","ANDA LUKSTIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Amatas novada pašvaldība","Amatas novada pašvaldība",Nē,"""Skujenes skola"", SKUJENES PAGASTS, AMATAS NOVADS, LV-4144","29161391","anda_1@inbox.lv"
"Amatas novada Spāres pamatskola","4422900347","Pastarpinātās pārvaldes iestāde","RITA BUKOVSKA",0,0,"Speciālās izglītības iestāde","Speciālā pamatskola","Amatas novada pašvaldība","Amatas novada pašvaldība",Nē,"""Spāres muiža"", SPĀRE, AMATAS PAGASTS, AMATAS NOVADS, LV-4139","64170076","info@sparesskola.lv"
"Amatas pamatskola","4412900328","Pastarpinātās pārvaldes iestāde","VALDIS NĪTIŅŠ",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Amatas novada pašvaldība","Amatas novada pašvaldība",Nē,"LIELĀ IELA 10, IERIĶI, DRABEŠU PAGASTS, AMATAS NOVADS, LV-4139","64129376, 29457809","amatask@inbox.lv"
"Ances pamatskola","4112900052","Pastarpinātās pārvaldes iestāde","ELITA KUĢENIECE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Ventspils novada Dome","Ventspils novada Dome",Nē,"""Skola"", ANCE, ANCES PAGASTS, VENTSPILS NOVADS, LV-3612","26124913","ancespsk@ventspilsnd.lv"
"Andreja Eglīša Ļaudonas vidusskola","4413900129","Pastarpinātās pārvaldes iestāde","GUNTIS LAZDA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Madonas novada pašvaldība","Madonas novada pašvaldība",Nē,"SKOLAS IELA 2, ĻAUDONA, ĻAUDONAS PAGASTS, MADONAS NOVADS, LV-4862","26532395","laudonasskola@madona.lv"
"Andreja Pumpura Rīgas 11. pamatskola","3612900689","Pastarpinātās pārvaldes iestāde","RENĀTE LINDE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Rīgas Dome","Rīgas Dome",Nē,"MASKAVAS IELA 197, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","67141237, 67141338","ap11ps@riga.lv"
"Andreja Upīša Skrīveru vidusskola","4513900975","Pastarpinātās pārvaldes iestāde","ALDIS RAKSTIŅŠ",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Skrīveru novada Dome","Skrīveru novada Dome",Nē,"STACIJAS LAUKUMS 1, SKRĪVERI, SKRĪVERU NOVADS, LV-5125","65197626","admin@auv.skriveri.lv"
"Andrupenes pagasta pirmsskolas izglītības iestāde ""Avotiņš""","4201900587","Pastarpinātās pārvaldes iestāde","ANNA ZINČENKO",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Dagdas novada pašvaldība","Dagdas novada pašvaldība",Nē,"SKOLAS IELA 3, ANDRUPENE, ANDRUPENES PAGASTS, DAGDAS NOVADS, LV-5687","65681687",
"Andrupenes pamatskola","4212900568","Pastarpinātās pārvaldes iestāde","ARTŪRS BABRIS",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Dagdas novada pašvaldība","Dagdas novada pašvaldība",Nē,"SKOLAS IELA 6, ANDRUPENE, ANDRUPENES PAGASTS, DAGDAS NOVADS, LV-5687","65652236, 65652238","andrupenesskola@inbox.lv"
"Annahites pamatskola","4122901132","Pastarpinātās pārvaldes iestāde","LIENĪTE ALSBERGA",0,0,"Speciālās izglītības iestāde","Speciālā pamatskola","Ventspils novada Dome","Ventspils novada Dome",Nē,"""Annahites pamatskola"", STIKLI, PUZES PAGASTS, VENTSPILS NOVADS, LV-3613","63630348","stikli@ventspilsnd.lv"
"Annas Brigaderes pamatskola","4512903043","Pastarpinātās pārvaldes iestāde","ALDIS TISENKOPFS",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Tērvetes novada pašvaldība","Tērvetes novada pašvaldība",Nē,"""Annas Brigaderes skola"" , KROŅAUCE, TĒRVETES PAGASTS, TĒRVETES NOVADS, LV-3730","63768519","brigaderes.psk@skolas.zemgale.lv"
"Annenieku pirmsskolas izglītības iestāde ""Riekstiņš""","4501901574","Pastarpinātās pārvaldes iestāde","INĀRA LŪSĒNA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Dobeles novada pašvaldība","Dobeles novada Dome",Nē,"SKOLAS IELA 6A, KAĶENIEKI, ANNENIEKU PAGASTS, DOBELES NOVADS, LV-3718","63754940","riekstins@dobele.lv"
"Antūžu pamatskola","4522901242","Pastarpinātās pārvaldes iestāde","ZIEDONIS OZOLIŅŠ",0,0,"Speciālās izglītības iestāde","Speciālā pamatskola","Krustpils novada pašvaldība","Krustpils novada pašvaldība",Nē,"""Mežmalas"", ANTŪŽI, VARIEŠU PAGASTS, KRUSTPILS NOVADS, LV-5209","65229160, 29465070","antuzispsk@krustpils.lv"
"Apes pirmsskolas izglītības iestāde ""Vāverīte""","4401901483","Pastarpinātās pārvaldes iestāde","ILUTA APINE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Apes novada Dome","Apes novada Dome",Nē,"PASTA IELA 25, APE, APES NOVADS, LV-4337","27807791","vaverite@ape.lv"
"Apmācību centrs TOTES","4360800901","Komercsabiedrības struktūrvienība","ILZE AVOTIŅA",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Tote""","Sabiedrība ar ierobežotu atbildību ""Tote""",Nē,"Jaunzemītes, TOMES PAGASTS, ĶEGUMA NOVADS, LV-5020","26589650","info@totes.lv"
"Aronas pagasta pirmsskolas izglītības iestāde ""Sprīdītis""","4401900083","Pastarpinātās pārvaldes iestāde","SILVIJA ČURKSTE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Madonas novada pašvaldība","Madonas novada Dome",Nē,"MELIORATORU IELA 3, KUSA, ARONAS PAGASTS, MADONAS NOVADS, LV-4847","22041408","spriditis@madona.lv"
"Artura Šulca Centrs","3360800636","Biedrība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Arturs Šulcs, Ligita Margeviča","Arturs Šulcs, Ligita Margeviča",Nē,"MELĪDAS IELA 6/1 - 3, ZIEMEĻU RAJONS, RĪGA, LV-1015","26623152","davinci21@inbox.lv"
"Arvīda Žilinska Jēkabpils Mūzikas skola","1076902248","Pastarpinātās pārvaldes iestāde","SMAIDA ŠČERBICKA",0,1,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Jēkabpils pilsētas pašvaldība","Jēkabpils pilsētas Dome",Nē,"BRĪVĪBAS IELA 198, JĒKABPILS, LV-5201","65231512, 29485496, 20371485","jekmuzskola@inbox.lv"
"AS ""Sadales tīkls"" Mācību centrs","3360800209","Komercsabiedrības struktūrvienība","KRISTĪNE BLUMBERGA",0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Akciju sabiedrība ""Sadales tīkls""","Akciju sabiedrība ""Sadales tīkls""",Nē,"ŠMERĻA IELA 1, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006","67728928","mc@sadalestikls.lv"
"Ata Kronvalda Durbes pamatskola","4112903172","Pastarpinātās pārvaldes iestāde","KRISTĪNE BRUZULE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Durbes novada pašvaldība","Durbes novada pašvaldība",Nē,"SKOLAS IELA 5A, DURBE, DURBES NOVADS, LV-3440","63498070, 27841630","durbesskola@durbe.lv"
"Attīstības pedagoģijas un psiholoģijas centrs","3360800345","Komercsabiedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","SIA ""Pedagoģiskais centrs ""Eksperiments""""","SIA ""Pedagoģiskais centrs ""Eksperiments""""",Nē,"BRUŅINIEKU IELA 10, RĪGA, LV-1001","67315033","educenter@experiment.lv"
"Auces Mūzikas skola","4576902279","Pastarpinātās pārvaldes iestāde","INTARS GRĪNBERGS",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Auces novada pašvaldība","Auces novada Dome",Nē,"MIERA IELA 29A, AUCE, AUCES NOVADS, LV-3708","63745185","intars.grinbergs@skola.auce.lv"
"Auces novada Pieaugušo izglītības un informācijas centrs","4560900291","Pastarpinātās pārvaldes iestāde",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Auces novada pašvaldība","Auces novada Dome",Nē,"JELGAVAS IELA 1A, AUCE, AUCES NOVADS, LV-3708","63744860 63744861","anita.piic@inbox.lv"
"Auces novada pirmsskolas izglītības iestāde ""Pīlādzītis""","4501901577","Pastarpinātās pārvaldes iestāde","AIJA GINTERE-MIKNE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Auces novada pašvaldība","Auces novada pašvaldība",Nē,"AUSMAS IELA 5, AUCE, AUCES NOVADS, LV-3708","63745308",
"Auces novada pirmsskolas izglītības iestāde ""Rūķīši""","4501901706","Pastarpinātās pārvaldes iestāde","KRISTĪNE KLEINBERGA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Auces novada pašvaldība","Auces novada Dome",Nē,"SNIĶERES IELA 8C, BĒNE, BĒNES PAGASTS, AUCES NOVADS, LV-3711","63758267","kristine.kleinberga@pii.auce.lv"
"Auces novada pirmsskolas izglītības iestāde ""Vecauce""","4501901576","Pastarpinātās pārvaldes iestāde","INITA BILKŠTE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Auces novada pašvaldība","Auces novada pašvaldība",Nē,"LIELAUCES IELA 21, VECAUCE, VECAUCES PAGASTS, AUCES NOVADS, LV-3708","63745169","inita.bilkste@pii.auce.lv"
"Auces vidusskola","4513900885","Pastarpinātās pārvaldes iestāde","INDRA ŠPELA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Auces novada pašvaldība","Auces novada pašvaldība",Nē,"JURA MĀTERA IELA 11, AUCE, AUCES NOVADS, LV-3708","63745421","aucesvidusskola@auce.lv"
"Audriņu pamatskola","4212901140","Pastarpinātās pārvaldes iestāde","LIĀNA TEIRUMNIEKA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Rēzeknes novada pašvaldība ","Rēzeknes novada pašvaldība ",Nē,"KRASUHAS IELA 1A k-1, AUDRIŅI, AUDRIŅU PAGASTS, RĒZEKNES NOVADS, LV-4611","64640481","audrini@saskarsme.lv"
"Augstkalnes pamatskola","4512903390","Pastarpinātās pārvaldes iestāde","IEVA KRŪMIŅA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Tērvetes novada pašvaldība","Tērvetes novada pašvaldība",Nē,"""Ezerpils"", AUGSTKALNE, AUGSTKALNES PAGASTS, TĒRVETES NOVADS, LV-3709","63729459","augstkalnes.vsk@skolas.zemgale.lv"
"Augšlīgatnes Jaunā sākumskola","4411903221","Pastarpinātās pārvaldes iestāde","SANITA UNGURA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Līgatnes novada Dome","Līgatnes novada Dome",Nē,"UPES IELA 2, AUGŠLĪGATNE, LĪGATNES PAGASTS, LĪGATNES NOVADS, LV-4108","25725353","jaunaskola@ligatne.lv"
"Augšlīgatnes pirmsskolas izglītības iestāde ""Zvaniņi""","4401903277","Pastarpinātās pārvaldes iestāde","GUNITA LIEPIŅA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Līgatnes novada Dome","Līgatnes novada Dome",Nē,"SPORTA IELA 14, AUGŠLĪGATNE, LĪGATNES PAGASTS, LĪGATNES NOVADS, LV-4108","28661216","bernudarzszvanini@ligatne.lv"
"Augusta Dombrovska Mūzikas skola","3376902105","Pastarpinātās pārvaldes iestāde","IMANTS KALNIŅŠ",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Rīgas Dome","Rīgas Dome",Nē,"ZIEMEĻBLĀZMAS IELA 38, ZIEMEĻU RAJONS, RĪGA, LV-1015","67341879","adms@riga.lv"
"Austrumlatvijas Tehnoloģiju vidusskola","3113803087","Pastarpinātās pārvaldes iestāde","AIVARS VILKASTE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Rēzeknes Tehnoloģiju akadēmija","Rēzeknes Tehnoloģiju akadēmija",Nē,"ATBRĪVOŠANAS ALEJA 90, RĒZEKNE, LV-4601","26648445, 26464059","atv@rta.lv"
"AVESTAS ASTROLOĢIJAS SKOLA ""AVESTA""","3360800434","Biedrības struktūrvienība",,0,0,"Profesionālās tālākizglītības un pilnveides izglītības iestāde","Profesionālās tālākizglītības un pilnveides izglītības iestāde","Biedrība ""AVESTAS TRADĪCIJU CENTRS""","Biedrība ""AVESTAS TRADĪCIJU CENTRS""",Nē,"BRĪVĪBAS IELA 85, RĪGA, LV-1001","29850100","avestar@inbox.lv"
"Babītes Mūzikas skola","4376902251","Pastarpinātās pārvaldes iestāde","INITA PŪĶE",0,0,"Profesionālās ievirzes izglītības iestāde","Mūzikas skola","Babītes novada pašvaldība","Babītes novada pašvaldība",Nē,"JŪRMALAS IELA 14A, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107","67914683","muzikasskola@babite.lv"
"Babītes novada pašvaldības Babītes pirmsskolas izglītības iestāde","4301902018","Pastarpinātās pārvaldes iestāde","INGRĪDA DZELZKALĒJA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Babītes novada pašvaldība","Babītes novada pašvaldība",Nē,"PRIEŽU IELA 1, BABĪTE, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2101","67919341","babitespii@babite.lv"
"Babītes novada pašvaldības Salas sākumskola","4311902824","Pastarpinātās pārvaldes iestāde","NENSIJA PRIEDĪTE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā sākumskola","Babītes novada pašvaldība","Babītes novada Dome",Nē,"""Pīlādzīši"", SPUŅCIEMS, SALAS PAGASTS, BABĪTES NOVADS, LV-2105","67934172","salasskola@babite.lv"
"Babītes novada pirmsskolas izglītības iestāde ""Saimīte""","4301901949","Pastarpinātās pārvaldes iestāde","INGA ERDMANE-HERMANE",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Babītes novada pašvaldība","Babītes novada pašvaldība",Nē,"RĪGAS IELA 7, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107","67914602, 67914494","saimitespii@babite.lv"
"Babītes vidusskola","4313901118","Pastarpinātās pārvaldes iestāde","ILZE ROZENBERGA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Babītes novada pašvaldība","Babītes novada pašvaldība",Nē,"JŪRMALAS IELA 17, PIŅĶI, BABĪTES PAGASTS, BABĪTES NOVADS, LV-2107","67914834","vidusskola@babite.lv"
"Baldones Mākslas skola","4375902083","Pastarpinātās pārvaldes iestāde","TĀLIVALDIS MUZIKANTS",0,0,"Profesionālās ievirzes izglītības iestāde","Mākslas skola","Baldones novada pašvaldība","Baldones novada pašvaldība",Nē,"DAUGAVAS IELA 2a, BALDONE, BALDONES NOVADS, LV-2125","67932077,  27832888","makslasskola@baldone.lv"
"Baldones Mūzikas pamatskola","4312901006","Pastarpinātās pārvaldes iestāde","DACE ŽUKA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā pamatskola","Baldones novada pašvaldība","Baldones novada Dome",Nē,"DAUGAVAS IELA 23, BALDONE, BALDONES NOVADS, LV-2125","67932069","baltapils@baldone.lv"
"Baldones pirmsskolas izglītības iestāde ""Vāverīte""","4301901945","Pastarpinātās pārvaldes iestāde","VALDA GERTA",0,0,"Pirmsskolas izglītības iestāde","Pirmsskolas izglītības iestāde","Baldones novada pašvaldība","Baldones novada Dome",Nē,"PILSKALNA IELA 6, BALDONE, BALDONES NOVADS, LV-2125","67932793","piivaverite@baldone.lv"
"Baldones vidusskola","4313901125","Pastarpinātās pārvaldes iestāde","INDRA ŠMITE",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Baldones novada pašvaldība","Baldones novada Dome",Nē,"IECAVAS IELA 2, BALDONE, BALDONES NOVADS, LV-2125","67932794, 67932713, 67932317","skola@baldonesvsk.lv"
"Baložu vidusskola","4313902363","Pastarpinātās pārvaldes iestāde","VITA BROKA",0,0,"Vispārējās izglītības iestāde","Vispārizglītojošā vidusskola","Ķekavas novada pašvaldība","Ķekavas novada Dome",Nē,"SKOLAS IELA 6, BALOŽI, ĶEKAVAS NOVADS, LV-2112","67917725","balozu.vidusskola@kekava.lv"
"Baltic Media Valodu mācību centrs","3380801011","Komercsabiedrības struktūrvienība","IVARS LAZDIŅŠ",0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""BALTIC MEDIA LTD""","Sabiedrība ar ierobežotu atbildību ""BALTIC MEDIA LTD""",Nē,"ELIZABETES IELA 2, RĪGA, LV-1340","67224395","kursi@balticmedia.com"
"Baltijas astroloģijas skola","3380800323","Komercsabiedrības struktūrvienība",,0,0,"Pieaugušo neformālās izglītības iestāde","Pieaugušo neformālās izglītības iestāde","Sabiedrība ar ierobežotu atbildību ""Baltijas astroloģijas skola""","Sabiedrība ar ierobežotu atbildību ""Baltijas astroloģijas skola""",Nē,"MASKAVAS IELA 285/1 - 57, RĪGA, LV-1063","67281003","baltastro@inbox.lv"
