Nr. p. k.,Novads/republikas pilsēta,Iestādes reģistrācijas Nr.,Iestādes nosaukums,Pakļautība,Iestādes veids,Iestādes tips,Adrese,Epasts,Tālrunis,Direktors,Bērnu skaits pirmsskolas programmās,Izglītojamo skaits 1. - 12. klasē
351,OGRES NOVADS,4313900189,Ogres 1. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ZINĪBU IELA 3, OGRE, OGRES NOVADS, LV-5001",ogres1vsk@ogresnovads.lv,65035929,IGORS GRIGORJEVS,0,1364
352,OGRES NOVADS,4313901327,Jaunogres vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MĀLKALNES PROSPEKTS 43, OGRE, OGRES NOVADS, LV-5001",jvsk@ogresnovads.lv,65021445,ALEKSANDRS HORUŽENKO,0,594
353,OGRES NOVADS,4319901137,Ogres Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"MEŽA PROSPEKTS 14, OGRE, OGRES NOVADS, LV-5001",gimnazija@ogresnovads.lv,65044522,INNA ZEŅKEVIČA,0,511
354,OLAINES NOVADS,4313901122,Olaines 1. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ZEIFERTA IELA 4, OLAINE, OLAINES NOVADS, LV-2114",olaines1vsk@olaine.lv,67962959,JĀZEPS VOLĀNS,46,1043
355,OLAINES NOVADS,4313901129,Olaines 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 1, OLAINE, OLAINES NOVADS, LV-2114",olaines2vsk@olaine.lv,67963582,LUDMILA OSIPOVA,24,720
356,OZOLNIEKU NOVADS,4512900841,Teteles pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 10, TETELE, CENU PAGASTS, OZOLNIEKU NOVADS, LV-3043",tetelespsk@ozolnieki.lv,63055432,VALDIS BOGDANOVS,0,167
357,OZOLNIEKU NOVADS,4512900852,Salgales pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"1. MAIJA IELA 9, EMBURGA, SALGALES PAGASTS, OZOLNIEKU NOVADS, LV-3045",salgalespsk@ozolnieki.lv,63085743,IRĒNA PAULOVIČA,34,56
358,OZOLNIEKU NOVADS,4512900860,Garozas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Garozas pamatskola"", SALGALES PAGASTS, OZOLNIEKU NOVADS, LV-3045",garozaspsk@ozolnieki.lv,"63085483, 26185548",DINA ŠTELMAHERE,43,79
359,OZOLNIEKU NOVADS,4513900856,Ozolnieku vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"JELGAVAS IELA 35, OZOLNIEKI, OZOLNIEKU PAGASTS, OZOLNIEKU NOVADS, LV-3018",ozolniekuvsk@ozolniekuvsk.lv,63050658,DINA TAURIŅA,0,659
360,PĀRGAUJAS NOVADS,4412900315,Straupes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Mazstraupes pils"", STRAUPE, STRAUPES PAGASTS, PĀRGAUJAS NOVADS, LV-4152",skola@strsk.edu.lv,64134157,LIGITA KRŪMIŅA,70,87
361,PĀRGAUJAS NOVADS,4412903329,Stalbes pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Iktes"", STALBE, STALBES PAGASTS, PĀRGAUJAS NOVADS, LV-4151",skola@stalbe.edu.lv,"64134549, 64134445",JOLANTA DZENE,106,102
362,PĀRGAUJAS NOVADS,4422903321,Aleksandra Bieziņa Raiskuma pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Dzelmes 5"", RAISKUMS, RAISKUMA PAGASTS, PĀRGAUJAS NOVADS, LV-4146",kanc@raiskint.apollo.lv,64107934,LOLITA ŽAGARE,0,88
363,PĀVILOSTAS NOVADS,4112901023,Vērgales pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"'Skola"", VĒRGALE, VĒRGALES PAGASTS, PĀVILOSTAS NOVADS, LV-3463",vergalespmsk@inbox.lv,63490815,GINTS JURIKS,0,117
364,PĀVILOSTAS NOVADS,4112903363,Pāvilostas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"DZINTARU IELA 52, PĀVILOSTA, PĀVILOSTAS NOVADS, LV-3466",skola@pavilosta.lv, 63498454,MARITA ROLMANE,0,84
365,PĻAVIŅU NOVADS,4516902770,Pļaviņu novada ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Ģimnāzija,"DAUGAVAS IELA 101, PĻAVIŅAS, PĻAVIŅU NOVADS, LV-5120",skola@png.edu.lv,65133844,ILZE LUKSA,0,412
366,PREIĻU NOVADS,4212803090,"Pamatskola ""Preiļu Brīvā skola""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"AGLONAS IELA 22, PREIĻI, PREIĻU NOVADS, LV-5301",preilubrivaskola@gmail.com,26473636,ILONA INDRIKSONE,28,23
367,PREIĻU NOVADS,4212900356,Preiļu 1. pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"DAUGAVPILS IELA 34, PREIĻI, PREIĻU NOVADS, LV-5301",preilu1psk@pvg.edu.lv,65322749,NORA ŠŅEPSTE,0,470
368,PREIĻU NOVADS,4212900367,Pelēču pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 4, PELĒČI, PELĒČU PAGASTS, PREIĻU NOVADS, LV-5320",pelecupsk@pvg.edu.lv,65326155,GUNTARS RATENIEKS,23,57
369,PREIĻU NOVADS,4212900370,Salas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"Salas pamatskola, SMELTERI, SAUNAS PAGASTS, PREIĻU NOVADS, LV-5326",salaspsk@preili.lv,65326400,ANITA VJAKSE,15,47
370,PREIĻU NOVADS,4213900386,Preiļu 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ANDREJA PAULĀNA IELA 2, PREIĻI, PREIĻU NOVADS, LV-5301",preilu2vsk@preili.lv,"65322184, 65322501",NADEŽDA HĻEBŅIKOVA,0,214
371,PREIĻU NOVADS,4219900382,Jāņa Eglīša Preiļu Valsts ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"KOOPERATĪVĀ IELA 6, PREIĻI, PREIĻU NOVADS, LV-5301",preiluvalstsgim@pvg.edu.lv,65321663,LIGITA PAUNIŅA,0,171
372,PRIEKULES NOVADS,4112901033,Krotes Kronvalda Ata pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Krotes pamatskola"", KROTE, BUNKAS PAGASTS, PRIEKULES NOVADS, LV-3444",krotesskola@priekulesnovads.lv,"63453070, 26183364",GITA SPIĢERE,29,85
373,PRIEKULES NOVADS,4112903259,Kalētu Mūzikas un mākslas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIEPU ALEJA 4, KALĒTI, KALĒTU PAGASTS, PRIEKULES NOVADS, LV-3484",kaletuskola@priekulenovads.lv,"63461006, 63461526",INESE KUDUMA,61,95
374,PRIEKULES NOVADS,4113901000,Priekules vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"AIZPUTES IELA 1, PRIEKULE, PRIEKULES NOVADS, LV-3434",priekulesvsk@priekulesnovads.lv,63467155,IRINA TIESNESE,0,261
375,PRIEKULES NOVADS,4122901034,Mežupes pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"""Purmsātu muiža"", PURMSĀTI, VIRGAS PAGASTS, PRIEKULES NOVADS, LV-3485",mezupesskola@priekulesnovads.lv,63454904,ANITRA ŠNEIDERE,5,55
376,PRIEKUĻU NOVADS,4412900324,Liepas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"RŪPNĪCAS IELA 12, LIEPA, LIEPAS PAGASTS, PRIEKUĻU NOVADS, LV-4128",liepasskola@priekulunovads.lv,64195444,ANŽELA KOVAĻOVA,18,137
377,PRIEKUĻU NOVADS,4413900336,Priekuļu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"CĒSU PROSPEKTS 46, PRIEKUĻI, PRIEKUĻU PAGASTS, PRIEKUĻU NOVADS, LV-4126",kanceleja@vidusskola.lv,"64107830, 64107837",IVETA APINE,0,418
378,RAUNAS NOVADS,4412801047,"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 2, DRUSTI, DRUSTU PAGASTS, RAUNAS NOVADS, LV-4132",agneserodedansina@gmail.com,29445397,AGNESE RODE-DANŠINA,2,4
379,RAUNAS NOVADS,4413900333,Raunas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 1, RAUNA, RAUNAS PAGASTS, RAUNAS NOVADS, LV-4131",raunask@cesis.edu.lv,64177384,EDGARS PLĒTIENS,105,195
380,RĒZEKNE,3111903094,Rēzeknes sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"KAĻĶU IELA 12, RĒZEKNE, LV-4601",sakumskola@rezekne.lv,64623758,ILONA STRAMKALE,0,480
381,RĒZEKNE,3113802708,Rēzeknes Katoļu vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LATGALES IELA 82, RĒZEKNE, LV-4601",rekat@inbox.lv,64625180,INESE MIKASKINA,0,159
382,RĒZEKNE,3113803087,Austrumlatvijas Tehnoloģiju vidusskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ATBRĪVOŠANAS ALEJA 90, RĒZEKNE, LV-4601",atv@rta.lv,"26648445, 26464059",AIVARS VILKASTE,0,118
383,RĒZEKNE,3113900062,Rēzeknes 2. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DĀRZU IELA 17, RĒZEKNE, LV-4601",rez2vsk@rezekne.lv,64607980,IGORS SERGEJEVS,0,447
384,RĒZEKNE,3113900063,Rēzeknes 3. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"18. NOVEMBRA IELA 33, RĒZEKNE, LV-4601",3vsk@rezekne.lv,64622654,KRISTĪNE USTINOVA,0,415
385,RĒZEKNE,3113900065,Rēzeknes 5. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RŪPNĪCAS IELA 11, RĒZEKNE, LV-4604",5vsk@rezekne.lv,64633413,VIJA POIKĀNE,0,455
386,RĒZEKNE,3113900066,Rēzeknes 6. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KOSMONAUTU IELA 6, RĒZEKNE, LV-4604",6vsk@rezekne.lv,"64633660, 64607072, 64607070",RAISA MEIERE,0,527
387,RĒZEKNE,3113903386,Rēzeknes 4. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"VIĻĀNU IELA 2, RĒZEKNE, LV-4601",4vsk@rezekne.lv,64621830,JĀNIS GAILIS,0,369
388,RĒZEKNE,3116902163,Rēzeknes valsts poļu ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Ģimnāzija,"LUBĀNAS IELA 49, RĒZEKNE, LV-4600",poluvsk@rezekne.lv,64636680,VALENTĪNA ŠIDLOVSKA,49,590
389,RĒZEKNE,3119902527,Rēzeknes Valsts 1. ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"DZIRNAVU IELA 3a, RĒZEKNE, LV-4601",rv1g@rezekne.lv,64607372,JĀNIS POPLAVSKIS,0,437
390,RĒZEKNE,3124903147,Rēzeknes pamatskola-attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"F. VARSLAVĀNA IELA 5, RĒZEKNE, LV-4601",logopeduskola@rezekne.lv,64625003,RITA ZOMMERE,88,171
391,RĒZEKNES NOVADS,4212901140,Audriņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"KRASUHAS IELA 1A k-1, AUDRIŅI, AUDRIŅU PAGASTS, RĒZEKNES NOVADS, LV-4611",audrini@saskarsme.lv,64640481,LIĀNA TEIRUMNIEKA,35,30
392,RĒZEKNES NOVADS,4212901145,Feimaņu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Feimaņu skola"", FEIMAŅI, FEIMAŅU PAGASTS, RĒZEKNES NOVADS, LV-4623",feimani@saskarsme.lv,64644749,AINA DRIKŠŅA,24,56
393,RĒZEKNES NOVADS,4212901156,Jaunstrūžānu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"MIERA IELA 12, STRŪŽĀNI, STRUŽĀNU PAGASTS, RĒZEKNES NOVADS, LV-4643",jaunstruzani@saskarsme.lv,64667096,IVARS IGAUNIS,0,47
394,RĒZEKNES NOVADS,4212901165,Rēznas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 2, STOĻEROVA, STOĻEROVAS PAGASTS, RĒZEKNES NOVADS, LV-4642",rezna@saskarsme.lv,64644170,ANATOLIJS KOZLOVSKIS,22,70
395,RĒZEKNES NOVADS,4212901167,Sakstagala Jāņa Klīdzēja pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 13, CIUKORI, SAKSTAGALA PAGASTS, RĒZEKNES NOVADS, LV-4638",sakstagals@saskarsme.lv,64640547,SILVIJA FREIBERGA,0,119
396,RĒZEKNES NOVADS,4212901168,Verēmu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"""Verēmu pamatskola"", ŠKEŅEVA, VĒRĒMU PAGASTS, RĒZEKNES NOVADS, LV-4647",veremi@saskarsme.lv,"64628835, 64628838",IVETA GAILE,60,106
397,RĒZEKNES NOVADS,4212902240,Gaigalavas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 5, GAIGALAVA, GAIGALAVAS PAGASTS, RĒZEKNES NOVADS, LV-4618",gaigalava@saskarsme.lv,64644519,INĀRA ŪSĪTE,10,58
398,RĒZEKNES NOVADS,4213901076,Kaunatas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"RĀZNAS IELA 17, KAUNATA, KAUNATAS PAGASTS, RĒZEKNES NOVADS, LV-4622",kaunata@saskarsme.lv,64667253,ALĪNA GENDELE,0,204
399,RĒZEKNES NOVADS,4213901078,Lūcijas Rancānes Makašānu Amatu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Makašānu amatu vidusskola"", IUGULOVA, VĒRĒMU PAGASTS, RĒZEKNES NOVADS, LV-4604",skola@makasani.lv,"64628830, 64628832",GUNDEGA RANCĀNE,0,91
400,RĒZEKNES NOVADS,4213901149,Tiskādu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PARKA IELA 4, VECRUŽINA, SILMALAS PAGASTS, RĒZEKNES NOVADS, LV-4636",tiskadi@saskarsme.lv,64646124,OLGA MISEVIČA,7,147
401,RĒZEKNES NOVADS,4213901150,Dricānu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"Dricānu vidusskola, DRICĀNI, DRICĀNU PAGASTS, RĒZEKNES NOVADS, LV-4615",dricani@saskarsme.lv,25432338,SKAIDRĪTE STRODE,0,157
402,RĒZEKNES NOVADS,4213901152,Nautrēnu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"""Vidusskola"", ROGOVKA, NAUTRĒNU PAGASTS, RĒZEKNES NOVADS, LV-4652",nautreni@saskarsme.lv,64644390,ANITA LUDBORŽA,0,181
403,RĒZEKNES NOVADS,4213903054,Maltas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SKOLAS IELA 5, MALTA, MALTAS PAGASTS, RĒZEKNES NOVADS, LV-4630",malta@saskarsme.lv,"64631440, 64634355",VINERA DIMPERE,18,527
404,RĒZEKNES NOVADS,4220900956,Rēzeknes novada speciālā pamatskola,Pašvaldība ,Speciālās izglītības iestāde,Speciālā pamatskola,"ROZENTOVAS IELA 9, MALTA, MALTAS PAGASTS, RĒZEKNES NOVADS, LV-4630",maltasspec@saskarsme.lv,64631050,GEORGS IGNATJEVS,4,134
405,RIEBIŅU NOVADS,4212900360,Dravnieku pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 4, STABULNIEKI, STABULNIEKU PAGASTS, RIEBIŅU NOVADS, LV-5333",dravniekupsk@riebini.lv,"65326502, 65326503",JĀNIS ZNOTIŅŠ,8,22
406,RIEBIŅU NOVADS,4212900364,Galēnu pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"SKOLAS IELA 11, GALĒNI, GALĒNU PAGASTS, RIEBIŅU NOVADS, LV-5311",galenupsk@riebini.lv,65329002,GUNITA STRODE,27,62
407,RIEBIŅU NOVADS,4212900373,Rušonas pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LIEPU IELA 5A, KASTĪRE, RUŠONAS PAGASTS, RIEBIŅU NOVADS, LV-5329",rusonaspsk@riebini.lv,65326451,JANĪNA ŠELEGOVIČA,31,49
408,RIEBIŅU NOVADS,4213900379,Riebiņu vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"LIEPU IELA 21, RIEBIŅI, RIEBIŅU PAGASTS, RIEBIŅU NOVADS, LV-5326",riebinuvsk@riebini.lv,65323684,INETA ANSPOKA,0,158
409,RĪGA,3334303165,"Profesionālās izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""",Kultūras ministrija,Profesionālās pamata un vidējās izglītības iestāde,Profesionālās izglītības kompetences centrs,"KALNCIEMA IELA 12, KURZEMES RAJONS, RĪGA, LV-1048",info@nmv.lv,67601783,JĀNIS ZIŅĢĪTIS,0,478
410,RĪGA,3411900787,Rīgas Valda Zālīša sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"KALPAKA BULVĀRIS 8, CENTRA RAJONS, RĪGA, LV-1050",vzsk@riga.lv,"67474306, 67474307",ELITA RĪTERE,0,502
411,RĪGA,3411903379,"Rīgas sākumskola ""Valodiņa""",Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"KRIŠJĀŅA BARONA IELA 25 - 36, CENTRA RAJONS, RĪGA, LV-1011",rvalsk@riga.lv,"67848880, 67848877",INESE GROZA,0,172
412,RĪGA,3412803330,Rīgas Centra pamatskola,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"LĀČPLĒŠA IELA 36 - 6, CENTRA RAJONS, RĪGA, LV-1011",info@bernudarzs.eu,29150128,ANITA BRUNERE,38,2
413,RĪGA,3412803345,Privātā pamatskola DOMDARIS,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"BRĪVĪBAS IELA 104, CENTRA RAJONS, RĪGA, LV-1001",info@domdaris.lv,26545141,ILZE LOGINA,28,217
414,RĪGA,3412900786,Rīgas Centra daiļamatniecības pamatskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"ASPAZIJAS BULVĀRIS 34, CENTRA RAJONS, RĪGA, LV-1050",cdps@riga.lv,"67227548, 67226324",AIJA NEILANDE,0,357
415,RĪGA,3412900804,"Pamatskola ""Rīdze""",Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"KRIŠJĀŅA VALDEMĀRA IELA 2, CENTRA RAJONS, RĪGA, LV-1010",ridzeps@riga.lv,67848044,IVETA BIRKMANE,0,528
416,RĪGA,3413801138,Privātā Rīgas Tehnolingvistiskā ģimnāzija,Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"ĢERTRŪDES IELA 27, CENTRA RAJONS, RĪGA, LV-1011",direktors@rtlg.lv,67312504,INGA MAKARENKO,0,34
417,RĪGA,3413802628,"Privātā vidusskola ""INNOVA""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRIŠJĀŅA BARONA IELA 130, CENTRA RAJONS, RĪGA, LV-1012",news@experiment.lv,20379720,MARIJA PEKARSKA,0,65
418,RĪGA,3413900790,Rīgas Centra humanitārā vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRIŠJĀŅA BARONA IELA 97a, CENTRA RAJONS, RĪGA, LV-1012",chvs@riga.lv,67474239,INETA RUDZĪTE,0,1159
419,RĪGA,3413900797,Rīgas 40. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"TĒRBATAS IELA 15/17, CENTRA RAJONS, RĪGA, LV-1011",r40vs@riga.lv,"67114908, 67114909",JEĻENA VEDIŠČEVA,0,978
420,RĪGA,3413900799,Rīgas 22. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"BRUŅINIEKU IELA 10, CENTRA RAJONS, RĪGA, LV-1001",r22vs@riga.lv,67272126,IRINA ROMANOVA,0,644
421,RĪGA,3413902866,Rīgas Natālijas Draudziņas vidusskola ,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"BRUŅINIEKU IELA 24a, CENTRA RAJONS, RĪGA, LV-1001",rndv@riga.lv,67278063,PĒTERIS ŠEVČENKO,0,885
422,RĪGA,3413903315,Rīgas Raiņa vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KRIŠJĀŅA BARONA IELA 71, CENTRA RAJONS, RĪGA, LV-1001",rrainavsk@riga.lv,67311546,JURIS ŠMITS,0,203
423,RĪGA,3419900793,Rīgas Valsts 1. ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"RAIŅA BULVĀRIS 8, CENTRA RAJONS, RĪGA, LV-1050",rv1g@riga.lv,67227412,MĀRIS BRASLA,0,1037
424,RĪGA,3419900794,Rīgas Valsts 3. ģimnāzija,Pašvaldība ,Vispārējās izglītības iestāde,Valsts ģimnāzija,"GRĒCINIEKU IELA 10, CENTRA RAJONS, RĪGA, LV-1050",rv3g@riga.lv,67037408,ANDRIS PRIEKULIS,0,734
425,RĪGA,3424903099,Rīgas 1. pamatskola-attīstības centrs,Pašvaldība ,Speciālās izglītības iestāde,Internātskola - attīstības centrs,"ĢERTRŪDES IELA 18, CENTRA RAJONS, RĪGA, LV-1011",r1ps@riga.lv,"67294164, 67294064",LAILA LAPIŅA,0,190
426,RĪGA,3511900641,Āgenskalna sākumskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā sākumskola,"KANDAVAS IELA 4 k-1, KURZEMES RAJONS, RĪGA, LV-1083",aksk@riga.lv,67474177,INĀRA KAĶĪTE,0,510
427,RĪGA,3512900779,Rīgas Valdorfskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā pamatskola,"BALTĀ IELA 10, KURZEMES RAJONS, RĪGA, LV-1055",rvds@riga.lv,"67601836, 67613528",MĀRA SVILĀNE,112,416
428,RĪGA,3513800288,"Privātskola ""Latreia""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KULDĪGAS IELA 45, KURZEMES RAJONS, RĪGA, LV-1083",latreia@btv.lv,67624995,VALDIS KRŪMIŅŠ,20,219
429,RĪGA,3513802325,"Privātā vidusskola ""Templum""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MEŽA IELA 4, KURZEMES RAJONS, RĪGA, LV-1048",templum@inbox.lv,"67619150, 25969930",ALEKSANDRA SIŅENKO,0,59
430,RĪGA,3513802582,"Privātā vidusskola ""Patnis""",Juridiska vai fiziska persona,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"GREGORA IELA 13a, KURZEMES RAJONS, RĪGA, LV-1046",patnis@patnis.lv,"67622161, 67615743, 26546854",AGNESE PŪTELE,129,229
431,RĪGA,3513900764,Rīgas 54. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"BALTĀ IELA 22A, KURZEMES RAJONS, RĪGA, LV-1055",r54vs@riga.lv,"67460338, 67462267",GAĻINA GUSAKOVA,0,325
432,RĪGA,3513900765,Rīgas 34. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KANDAVAS IELA 4, KURZEMES RAJONS, RĪGA, LV-1083",r34vs@riga.lv,"67458895, 67459090, 67459319",NATAĻJA ROGAĻEVA,0,1266
433,RĪGA,3513900766,Rīgas Daugavgrīvas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"PARĀDES IELA 5C, KURZEMES RAJONS, RĪGA, LV-1016",rdvs@riga.lv,"67432168, 67430210, 67431152",OLGA SEĻUTINA,0,449
434,RĪGA,3513900767,Rīgas Anniņmuižas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KLEISTU IELA 14, KURZEMES RAJONS, RĪGA, LV-1067",ramvs@riga.lv,"67416561, 67416663",TATJANA PULLE,0,803
435,RĪGA,3513900768,Rīgas 41. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"SLOKAS IELA 49 A, KURZEMES RAJONS, RĪGA, LV-1007",r41vs@riga.lv,"67459622, 67459522",MĀRA TOMASA,0,844
436,RĪGA,3513900770,Iļģuciema vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"DZIRCIEMA IELA 109, KURZEMES RAJONS, RĪGA, LV-1055",icvs@riga.lv,"67469690, 67469190",IVETA TAURIŅA,0,547
437,RĪGA,3513900771,Rīgas 19. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"MIGLAS IELA 9, KURZEMES RAJONS, RĪGA, LV-1016",r19vs@riga.lv,67430558,RUTA DZENE,0,234
438,RĪGA,3513900772,Rīgas 71. vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"IĻĢUCIEMA IELA 6, KURZEMES RAJONS, RĪGA, LV-1055",r71vs@riga.lv,"67467655, 67468198",ANDREJS RIŽIKOVS,0,877
439,RĪGA,3513900773,Rīgas Imantas vidusskola,Pašvaldība ,Vispārējās izglītības iestāde,Vispārizglītojošā vidusskola,"KURZEMES PROSPEKTS 158, KURZEMES RAJONS, RĪGA, LV-1029",rimvs@riga.lv,67474107,INGŪNA HELVIGA,0,968
